2020-10-28	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-10-24	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-10-21	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-10-18	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-10-14	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-10-11	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-10-07	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-10-04	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-10-01	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-09-27	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-09-23	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-09-20	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-09-16	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-09-13	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-09-09	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-09-06	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-04-08	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-07-14	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-07-11	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-07-07	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-07-04	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-07-01	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-06-26	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-06-23	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-06-20	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-06-13	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-06-09	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-06-06	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-06-02	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-05-30	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-05-26	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-05-16	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-05-12	ST	Night	CONFIRMED	沙田馬場	沙田夜馬
2021-05-08	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-05-05	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-05-02	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-04-28	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-04-25	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 富衛保險冠軍賽馬日
2021-04-21	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-04-17	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-04-14	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-04-11	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-04-05	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 復活節
2021-03-31	ST	Night	CONFIRMED	沙田馬場	沙田夜馬
2021-03-28	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-03-24	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-03-21	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 寶馬香港打吡大賽
2021-03-17	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-03-13	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-03-10	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-03-07	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-03-03	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-02-28	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-02-24	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-02-21	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 花旗銀行香港金盃/女皇銀禧紀念盃
2021-02-17	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-02-14	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 農曆新年
2021-02-10	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-02-06	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-02-03	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-01-31	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-01-27	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-01-24	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 百週年紀念短途盃/董事盃
2021-01-20	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-01-17	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-01-13	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-01-10	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-01-06	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-01-01	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 新年
2020-12-26	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-12-23	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-12-20	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-12-16	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-12-13	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 浪琴表香港國際賽事
2020-12-09	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-12-06	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-12-02	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-11-29	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-11-25	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-11-22	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-11-18	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-11-14	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-11-11	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-11-08	HV	Day	CONFIRMED	跑馬地馬場	跑馬地日馬
2020-11-04	ST	Night	CONFIRMED	沙田馬場	沙田夜馬
2020-11-01	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2021-05-19	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2021-05-23	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 渣打冠軍暨遮打盃
2020-07-15	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-07-12	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-07-08	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-07-05	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-07-01	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-06-27	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-06-24	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-06-21	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-06-14	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-06-10	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-06-07	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-06-03	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-05-31	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-05-27	ST	Night	CONFIRMED	沙田馬場	沙田夜馬
2020-05-24	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 渣打冠軍暨遮打盃
2020-05-20	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-05-17	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-05-13	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-05-09	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-05-06	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-05-03	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-04-29	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-04-26	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 富衛保險冠軍賽馬日
2020-04-22	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-04-19	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-04-15	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-04-12	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-04-08	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-04-05	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-04-01	ST	Night	CONFIRMED	沙田馬場	沙田夜馬
2020-03-29	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-03-25	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-03-22	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 寶馬香港打吡大賽
2020-03-18	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-03-14	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-03-11	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-03-08	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-03-04	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-03-01	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-02-26	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
