2020-09-13	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2021-04-08	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2020-09-06	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-11-11	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2020-11-25	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2020-12-02	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2020-12-09	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2020-12-16	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2020-12-23	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-01-06	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-01-13	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-01-20	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-01-27	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-02-03	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-02-10	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-02-17	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-02-24	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-03-03	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-03-10	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-03-17	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-03-24	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-04-14	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-04-21	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-04-28	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-05-05	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-05-19	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-05-26	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-06-23	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-06-09	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-06-02	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-07-07	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-07-14	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2021-05-12	ST	Night	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Night Race
2021-03-31	ST	Night	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Night Race
2020-11-18	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2020-11-04	ST	Night	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Night Race
2020-11-01	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-10-28	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2020-10-21	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2020-10-14	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2020-10-07	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
2020-09-23	HV	Night	CONFIRMED	Happy Valley Racecourse	HV Night Race
